Brand name,Product name,Text Description,Price Range,Image URL,Country of manufacture,Category ,Categorization Labels,Nutritional Information,Ingredients
cleo,Cleo Glow Radiance Booster Lightening Day Fluid SPF 40,"The Cleo Glow Radiance Booster Lightening Day Fluid SPF 40 is a lightweight, hydrating fluid that helps to brighten and even the skin tone. It is also formulated with SPF 40 to protect the skin from the sun's harmful rays 
How to use:

Apply a generous amount of the Cleo Glow Radiance Booster Lightening Day Fluid SPF 40 to your face and neck.
Massage the fluid into your skin until it is fully absorbed.
Apply sunscreen to any exposed skin.
",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=1,Egypt,Health & Care,Beauty - Skincare - Face - Moisturizer - Brightening - SPF (Sun Protection Factor),NULL,Vitamin C - SPF 40
cleo,Cleo Glow Radiance Booster Lightening Night Fluid Exfoliating LHA Anti-Brown Spots,"Cleo Glow Radiance Booster Lightening Night Fluid Exfoliating LHA Anti-Brown Spots is a nighttime formula that gently exfoliates and brightens the skin. It contains LHA (a type of salicylic acid) to remove dead skin cells and reduce hyperpigmentation, leaving skin smoother and more radiant
 How to use:

Apply a few drops of the Cleo Glow Radiance Booster Lightening Night Serum to your face and neck.
Massage the serum into your skin until it is fully absorbed.
Apply a moisturizer to your face and neck.
",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=2,Egypt,Health & Care,Beauty - Skincare - Face - Night Cream - Exfoliating - Brightening,NULL,Alpha Arbutin - Niacinamide - Salicylic Acid 
cleo,Cleo Glow Lightening Cleansing Gel Ultra Hydration (All Skin Types),"The Cleo Glow Lightening Cleansing Gel is a gentle, foaming cleanser that removes dirt, oil, and makeup from the skin. It is also formulated with ingredients that help to brighten and even the skin tone
How to use:

Wet your face with warm water.
Apply a small amount of the Cleo Glow Lightening Cleansing Gel to your hands.
Massage the cleanser into your skin for 1-2 minutes.
Rinse your face thoroughly with warm water.
Pat your face dry with a soft towel
",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=3,Egypt,Health & Care,Beauty - Skincare - Face - Cleanser - Exfoliating - Brightening - Hydrating - All Skin Types,NULL,LHA - Vitamin C - Niacinamide 
cleo,Cleo Glow Vitamin C Cleansing Gel (All Skin Types),"The Cleo Glow Vitamin C Cleansing Gel is a gentle, foaming cleanser that removes dirt, oil, and makeup from the skin. It is also formulated with vitamin C, which is a natural antioxidant that helps to protect the skin from damage caused by free radicals. The cleansing gel is also gentle on the skin, making it ideal for use on all skin types
How to use:

Wet your face with warm water.
Apply a small amount of the Cleo Glow Vitamin C Cleansing Gel to your hands.
Massage the cleanser into your skin for 1-2 minutes.
Rinse your face thoroughly with warm water.
Pat your face dry with a soft towel",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=4,Egypt,Health & Care,Beauty - Skincare - Face - Cleanser - Brightening - Vitamin C - All Skin Types,NULL,Vitamin C - Glycerin - Aloe vera
cleo,Cleo Glow Vitamin C 10% Serum,"Cleo Glow Vitamin C 10% Serum is a powerful antioxidant serum formulated with 10% Vitamin C to brighten, even skin tone, and reduce the appearance of wrinkles. It also provides anti-aging properties and protects the skin from pollution damage. Suitable for all skin types (patch test recommended for sensitive skin)
How to use:

Apply a few drops of the Cleo Glow Vitamin C 10% Serum to your face and neck.
Massage the serum into your skin until it is fully absorbed.
Apply a moisturizer to your face and neck.",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=5,Egypt,Health & Care,Beauty - Skincare - Face - Serum - Vitamin C - Anti-Aging - Brightening,NULL,Vitamin C - Hyaluronic Acid - Niacinamide
cleo,Cleo Glow Super Serum Hyaluronic Acid Niacinamide,"Cleo Glow Super Serum Hyaluronic Acid Niacinamide is a multi-action super serum that hydrates, plumps, and brightens the skin. Hyaluronic acid provides deep hydration, while Niacinamide helps minimize pores, even skin tone, and improve skin texture. This lightweight serum is suitable for all skin types and offers 24-hour hydration
How to use:

Apply a generous amount of the Cleo Glow Radiance Booster Lightening Day Fluid SPF 40 to your face and neck.
Massage the fluid into your skin until it is fully absorbed.
Apply sunscreen to any exposed skin",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=6,Egypt,Health & Care,Beauty - Skincare - Face - Serum - Hydrating - Brightening - All Skin Types - 24 Hr Hydration,NULL,Vitamin C - Niacinamide - SPF 40 - Hyaluronic Acid
cleo,Cleo Youth Hyaluronic Acid Cleansing Gel,"The Cleo Youth Hyaluronic Acid Cleansing Gel is a deep foaming cleanser that will rejuvenate and smooth out your skin with every single wash. It is now enriched with Hyaluronic acid to plump and rejuvenate your skin for a healthy and youthful look. It is formulated with Vitamin C, Collagen, and Vitamin E. Foaming Gel is easy to rinse without drying out the skin
How to use:

Lather gel in your hands and apply to a damp face and neck, every morning and evening.
Massage gently and leave for 1-2 minutes.
Rinse thoroughly with water",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=7,Egypt,Health & Care,Beauty - Skincare - Face - Cleanser - Hydrating - All Skin Types,NULL,Hyaluronic Acid - Vitamin C - Collagen - Vitamin E
cleo,Cleo Youth Hyaluronic Acid+ Anti-Aging Night Cream,"The Cleo Youth Hyaluronic Acid+ Anti-Aging Night Cream is an intensive replenishing anti-wrinkle and firming cream enriched with Hyaluronic acid, Vitamin C, and other potent antioxidants that will help fight damage caused by free radicals from the sun & harmful rays leading to a super brighter complexion
How to use:

Apply a small amount of the Cleo Youth Hyaluronic Acid+ Anti-Aging Night Cream to your face and neck every night.
Massage gently until it is fully absorbed",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=8,Egypt,Health & Care,Beauty - Skincare - Face - Night Cream - Anti-Aging - Hydrating - All Skin Types (Adults 21+),NULL,Hyaluronic Acid - Vitamin C - Collagen - Vitamin E
cleo,Cleo Youth Hyaluronic Acid Day Cream SPF 30 Anti-Aging,"Cleo Youth Hyaluronic Acid Day Cream SPF 30 Anti-Aging is a lightweight and nourishing day cream formulated with Hyaluronic Acid and SPF 30 to hydrate, plump, and protect the skin from UVA and UVB rays. It helps reduce the appearance of wrinkles and leaves the skin feeling smooth and radiant. Suitable for all skin types
How to use:

Apply a small amount of the Cleo Youth Hyaluronic Acid+ Anti-Aging Night Cream to your face and neck every morning 
Massage gently until it is fully absorbed",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=9,Egypt,Health & Care,Beauty - Skincare - Face - Day Cream - Anti-Aging - Hydrating - SPF 30 - All Skin Types,NULL,Hyaluronic Acid - Vitamin C - Collagen - Vitamin E
cleo,Cleo Clear Matte Ultra Light Moisturizer (Combination to Oily Skin),"Cleo Clear Matte Ultra Light Moisturizer is a nourishing formula enriched with antibacterial and sebum-regulating ingredients, along with ceramides to maintain the skin's moisture content. This lightweight, oil-free moisturizer provides a matte finish, ideal for combination and oily skin types
How to use:

Apply a generous amount of the Cleo Clear Matte Ultra Light Moisturizer to your face and neck.
Massage the moisturizer into your skin until it is fully absorbed.
Apply sunscreen to any exposed skin",100-200,https://i0.wp.com/cleolaboratories.com/wp-content/uploads/2024/01/Radiance-Booster-Lightening-Day-Fluid-SPF40-1.jpg?fit=1080%2C1080&ssl=10,Egypt,Health & Care,Beauty - Skincare - Face - Moisturizer - Oil-Free - Matte Finish - Combination Skin - Oily Skin,NULL,Salicylic Acid - Niacinamide - SPF 15 
